SCENARIO_NAME,SCHEDULE_TYPE,START_DATETIME,SOC,CHARGE_ENERGY,DISCHARGE_ENERGY,PRICE_ENERGY,REVENUE
historical,cleared,2026-01-26 04:00:00.000 +1000,42.63000,0.00000,0.08046,50.93864,3.80733
historical,expected,2026-01-26 04:00:00.000 +1000,42.78065,0.00000,0.04935,42.26507,1.93760
historical,cleared,2026-01-26 04:05:00.000 +1000,42.50000,0.02219,0.02618,52.09893,0.07706
historical,expected,2026-01-26 04:05:00.000 +1000,42.61788,0.00000,0.01212,51.04925,0.57490
historical,cleared,2026-01-26 04:10:00.000 +1000,42.39000,0.00000,0.00000,52.62778,0.00000
historical,expected,2026-01-26 04:10:00.000 +1000,42.50317,0.00317,0.00000,52.02592,-0.17218
historical,cleared,2026-01-26 04:15:00.000 +1000,42.29000,0.02277,0.00000,52.17526,-1.24150
historical,expected,2026-01-26 04:15:00.000 +1000,42.41379,0.02379,0.00000,51.94783,-1.29153
historical,cleared,2026-01-26 04:20:00.000 +1000,42.16000,0.00000,0.00000,52.78642,0.00000
historical,expected,2026-01-26 04:20:00.000 +1000,42.26264,0.00000,0.02736,52.18328,1.32641
historical,cleared,2026-01-26 04:25:00.000 +1000,42.08000,0.03293,0.00000,52.46915,-1.80602
historical,expected,2026-01-26 04:25:00.000 +1000,42.16081,0.00081,0.00000,52.46915,-0.04463
historical,cleared,2026-01-26 04:30:00.000 +1000,41.96000,0.02375,0.00000,51.67995,-1.28286
historical,expected,2026-01-26 04:30:00.000 +1000,42.16851,0.08851,0.00000,51.90707,-4.80161
historical,cleared,2026-01-26 04:35:00.000 +1000,41.81000,0.02099,0.01486,52.03741,-0.41254
historical,expected,2026-01-26 04:35:00.000 +1000,41.96758,0.00758,0.00000,52.26622,-0.41426
historical,cleared,2026-01-26 04:40:00.000 +1000,41.74000,0.01824,0.00000,51.03276,-0.97267
historical,expected,2026-01-26 04:40:00.000 +1000,41.81890,0.00890,0.00000,43.13853,-0.40145
historical,cleared,2026-01-26 04:45:00.000 +1000,41.57000,0.02676,0.01953,51.50907,-0.49162
historical,expected,2026-01-26 04:45:00.000 +1000,41.76686,0.02686,0.00000,51.73605,-1.45234
historical,cleared,2026-01-26 04:50:00.000 +1000,41.47000,0.01317,0.01859,51.56175,0.19142
historical,expected,2026-01-26 04:50:00.000 +1000,41.59158,0.02158,0.00000,51.56175,-1.16270
historical,cleared,2026-01-26 04:55:00.000 +1000,41.35000,0.01902,0.00000,51.92279,-1.03222
historical,expected,2026-01-26 04:55:00.000 +1000,40.65014,0.00000,0.81986,51.32748,39.08997
historical,cleared,2026-01-26 05:00:00.000 +1000,41.17000,0.00000,0.00000,50.94270,0.00000
historical,expected,2026-01-26 05:00:00.000 +1000,41.36668,0.01668,0.00000,50.94270,-0.88784
historical,cleared,2026-01-26 05:05:00.000 +1000,41.06000,0.00000,0.02779,51.68101,1.33404
historical,expected,2026-01-26 05:05:00.000 +1000,41.17823,0.00823,0.00000,52.05026,-0.44746
historical,cleared,2026-01-26 05:10:00.000 +1000,40.04000,0.00000,1.55022,31.31000,45.08674
historical,expected,2026-01-26 05:10:00.000 +1000,40.38530,0.00000,0.67470,48.87649,30.63280
historical,cleared,2026-01-26 05:15:00.000 +1000,39.67000,0.00000,0.03565,50.61703,1.67624
historical,expected,2026-01-26 05:15:00.000 +1000,39.36488,0.00000,0.67512,49.59210,31.10068
historical,cleared,2026-01-26 05:20:00.000 +1000,38.93000,0.00000,1.67412,42.36925,65.88861
historical,expected,2026-01-26 05:20:00.000 +1000,38.86565,0.00000,0.80435,48.79453,36.45763
historical,cleared,2026-01-26 05:25:00.000 +1000,38.77000,0.00752,0.02905,7.16824,0.13796
historical,expected,2026-01-26 05:25:00.000 +1000,38.78793,0.00000,0.14207,40.31609,5.32049
historical,cleared,2026-01-26 05:30:00.000 +1000,38.58000,0.00000,0.03513,40.70444,1.32811
historical,expected,2026-01-26 05:30:00.000 +1000,38.74615,0.00000,0.02385,47.84973,1.05996
historical,cleared,2026-01-26 05:35:00.000 +1000,38.48000,0.00957,0.00000,40.74504,-0.40768
historical,expected,2026-01-26 05:35:00.000 +1000,38.59031,0.01031,0.00000,41.36763,-0.44558
historical,cleared,2026-01-26 05:40:00.000 +1000,38.40000,0.01673,0.00000,35.39228,-0.61871
historical,expected,2026-01-26 05:40:00.000 +1000,37.49686,0.00000,0.98314,35.22960,32.17346
historical,cleared,2026-01-26 05:45:00.000 +1000,38.05000,0.01777,0.88491,49.46139,39.75279
historical,expected,2026-01-26 05:45:00.000 +1000,37.35343,0.00000,1.04657,48.44958,47.10104
historical,cleared,2026-01-26 05:50:00.000 +1000,35.21000,0.00000,3.79548,35.82666,126.31269
historical,expected,2026-01-26 05:50:00.000 +1000,33.50125,0.00000,4.54875,48.37694,204.41086
historical,cleared,2026-01-26 05:55:00.000 +1000,31.66000,0.00000,3.88836,34.65974,125.18877
historical,expected,2026-01-26 05:55:00.000 +1000,31.18960,0.00000,4.02040,47.80980,178.54991
historical,cleared,2026-01-26 06:00:00.000 +1000,31.33000,0.00000,0.04862,36.30702,1.63966
historical,expected,2026-01-26 06:00:00.000 +1000,31.25631,0.00000,0.40369,49.09296,18.40965
historical,cleared,2026-01-26 06:05:00.000 +1000,31.17000,0.00000,0.04355,49.96562,2.02115
historical,expected,2026-01-26 06:05:00.000 +1000,31.28968,0.00000,0.04032,49.58016,1.85681
historical,cleared,2026-01-26 06:10:00.000 +1000,30.98000,0.00815,0.00000,39.54179,-0.33693
historical,expected,2026-01-26 06:10:00.000 +1000,30.42308,0.00000,0.74692,41.11708,28.52788
historical,cleared,2026-01-26 06:15:00.000 +1000,30.88000,0.01483,0.00000,31.23171,-0.48413
historical,expected,2026-01-26 06:15:00.000 +1000,30.93024,0.00000,0.04976,36.28483,1.67729
historical,cleared,2026-01-26 06:20:00.000 +1000,30.81000,0.02231,0.00000,19.56907,-0.45633
historical,expected,2026-01-26 06:20:00.000 +1000,30.94729,0.06729,0.00000,31.35048,-2.20471
historical,cleared,2026-01-26 06:25:00.000 +1000,30.74000,0.02651,0.02902,1.10000,-0.00036
historical,expected,2026-01-26 06:25:00.000 +1000,30.85961,0.04961,0.00000,16.30360,-0.84534
historical,cleared,2026-01-26 06:30:00.000 +1000,32.47000,2.25625,0.00000,19.41136,-45.77242
historical,expected,2026-01-26 06:30:00.000 +1000,32.97750,2.24344,0.00658,19.64857,-45.94677
historical,cleared,2026-01-26 06:35:00.000 +1000,34.96000,2.29258,0.00000,1.10000,-2.63559
historical,expected,2026-01-26 06:35:00.000 +1000,34.72909,2.25909,0.00000,9.13171,-21.55992
historical,cleared,2026-01-26 06:40:00.000 +1000,34.86000,0.00000,0.00000,0.61411,0.00000
historical,expected,2026-01-26 06:40:00.000 +1000,34.42561,0.00000,0.53439,0.61850,0.30702
historical,cleared,2026-01-26 06:45:00.000 +1000,34.64000,0.03102,0.85175,0.62861,0.47729
historical,expected,2026-01-26 06:45:00.000 +1000,34.42364,0.00000,0.43636,0.74238,0.30092
historical,cleared,2026-01-26 06:50:00.000 +1000,34.35000,0.00711,0.89586,6.17887,5.09671
historical,expected,2026-01-26 06:50:00.000 +1000,33.99070,0.00000,0.64930,8.97717,5.41449
historical,cleared,2026-01-26 06:55:00.000 +1000,34.12000,0.00000,0.02011,0.00000,0.00000
historical,expected,2026-01-26 06:55:00.000 +1000,35.33027,1.03187,0.00000,0.62190,-0.63713
historical,cleared,2026-01-26 07:00:00.000 +1000,33.89000,0.00000,0.00000,6.53196,0.00000
historical,expected,2026-01-26 07:00:00.000 +1000,34.08228,0.00000,0.03772,16.65885,0.58369
historical,cleared,2026-01-26 07:05:00.000 +1000,33.80000,0.01657,0.00497,-1.02571,0.01296
historical,expected,2026-01-26 07:05:00.000 +1000,33.92281,0.03281,0.00000,1.10000,-0.03772
historical,cleared,2026-01-26 07:10:00.000 +1000,33.61000,0.00726,0.03568,2.65024,0.06805
historical,expected,2026-01-26 07:10:00.000 +1000,33.81391,0.01391,0.00000,7.57131,-0.11003
historical,cleared,2026-01-26 07:15:00.000 +1000,33.38000,0.00000,0.04739,1.10000,0.04842
historical,expected,2026-01-26 07:15:00.000 +1000,33.60802,0.00000,0.00198,5.17846,0.00954
historical,cleared,2026-01-26 07:20:00.000 +1000,33.23000,0.00000,0.04934,0.13708,0.00628
historical,expected,2026-01-26 07:20:00.000 +1000,33.35757,0.00000,0.02243,0.66564,0.01387
historical,cleared,2026-01-26 07:25:00.000 +1000,33.09000,0.00438,0.04934,0.00000,0.00000
historical,expected,2026-01-26 07:25:00.000 +1000,33.21511,0.00000,0.01489,0.45969,0.00636
historical,cleared,2026-01-26 07:30:00.000 +1000,34.43000,1.78125,0.00000,1.10000,-2.04776
historical,expected,2026-01-26 07:30:00.000 +1000,34.85674,1.76674,0.00000,0.65304,-1.20580
historical,cleared,2026-01-26 07:35:00.000 +1000,38.76000,4.75000,0.00000,0.67376,-3.34472
historical,expected,2026-01-26 07:35:00.000 +1000,39.14834,4.71834,0.00000,0.66773,-3.29269
historical,cleared,2026-01-26 07:40:00.000 +1000,43.64000,5.14583,0.00000,0.69517,-3.73859
historical,expected,2026-01-26 07:40:00.000 +1000,43.83901,5.07901,0.00000,0.65494,-3.47649
historical,cleared,2026-01-26 07:45:00.000 +1000,45.79000,2.17708,0.00000,0.64493,-1.46740
historical,expected,2026-01-26 07:45:00.000 +1000,45.76555,2.12555,0.00000,0.64200,-1.42616
historical,cleared,2026-01-26 07:50:00.000 +1000,47.57000,2.37500,0.00000,0.70725,-1.75549
historical,expected,2026-01-26 07:50:00.000 +1000,48.12640,2.35658,0.02237,0.67128,-1.63912
historical,cleared,2026-01-26 07:55:00.000 +1000,51.97000,4.75000,0.00000,0.07974,-0.39585
historical,expected,2026-01-26 07:55:00.000 +1000,52.28013,4.71013,0.00000,0.05454,-0.26848
historical,cleared,2026-01-26 08:00:00.000 +1000,56.88000,5.34375,0.00000,1.10000,-6.14327
historical,expected,2026-01-26 08:00:00.000 +1000,57.22435,5.25435,0.00000,0.65039,-3.57152
historical,cleared,2026-01-26 08:05:00.000 +1000,59.98000,2.94251,0.00000,0.05924,-0.18218
historical,expected,2026-01-26 08:05:00.000 +1000,59.81833,2.93833,0.00000,0.05951,-0.18275
historical,cleared,2026-01-26 08:10:00.000 +1000,61.83000,2.42876,0.00000,9.38964,-23.83388
historical,expected,2026-01-26 08:10:00.000 +1000,62.35197,2.42739,0.06140,3.95925,-9.81483
historical,cleared,2026-01-26 08:15:00.000 +1000,64.43999,2.45417,0.00000,0.64837,-1.66298
historical,expected,2026-01-26 08:15:00.000 +1000,64.26426,2.43426,0.00000,0.05969,-0.15185
historical,cleared,2026-01-26 08:20:00.000 +1000,64.58000,0.27708,0.00000,0.66592,-0.19284
historical,expected,2026-01-26 08:20:00.000 +1000,64.69627,0.25628,0.00000,0.06138,-0.01644
historical,cleared,2026-01-26 08:25:00.000 +1000,66.80000,2.73125,0.00000,0.06115,-0.17455
historical,expected,2026-01-26 08:25:00.000 +1000,67.31605,2.73605,0.00000,0.06142,-0.17563
historical,cleared,2026-01-26 08:30:00.000 +1000,71.25000,4.75000,0.00000,0.47953,-2.38051
historical,expected,2026-01-26 08:30:00.000 +1000,71.52310,4.72310,0.00000,0.05537,-0.27331
historical,cleared,2026-01-26 08:35:00.000 +1000,75.52000,4.59167,0.00000,0.06092,-0.29234
historical,expected,2026-01-26 08:35:00.000 +1000,75.81952,4.56952,0.00000,0.05585,-0.26672
